Adverse Interaction Index	Adverse Interaction Identifier	Adverse Interaction Name
718	C0020541	portal hypertension
719	C0029429	osteochondrosis
720	C0034067	emphysema
721	C0262365	abnormal mammogram
722	C0008301	choking
723	C0030794	pain pelvic
724	C0042928	vocal cord paralysis
725	C0007789	cerebral palsy
726	C0079035	Bradyarrhythmia
727	C0156404	irregular menstrual cycle
728	C0281839	esophageal rupture
729	C0000832	premature separation of placenta
730	C0001430	adenoma
731	C0008767	Scar
732	C0042133	fibroids
733	C0162298	joint stiffness
734	C0034072	Cor pulmonale
735	C0016689	ephelides
736	C0009782	connective tissue disease
737	C0013595	eczema
738	C0028081	night sweat
739	C0238154	epidural hematoma
740	C0000814	abortion missed
741	C0040147	thyroiditis
742	C0001126	renal tubular acidosis
743	C0002103	allergic rhinitis
744	C0019189	chronic hepatitis
745	C0022893	labyrinthitis
746	C0024103	Breast Lump
747	C0085679	hyperchloremia
748	C0037995	splenectomy
749	C0013274	patent ductus arteriosis
750	C0018818	ventricular septal defect
751	C0035344	retinopathy of prematurity
752	C0038663	attempted suicide
753	C0014173	Endometrial hyperplasia
754	C0026846	amyotrophy
755	C0036421	Scleroderma
756	C0009326	Collagen disease
757	C0025323	heavy menstrual period
758	C0085635	flashing lights
759	C1527383	Morphea
760	C0015300	exophthalmos
761	C0009375	colon neoplasm
762	C0023418	Leukaemia
763	C0023892	biliary cirrhosis
764	C0029927	Ovarian Cyst
765	C0276143	Viral Pharyngitis
766	C0002736	als
767	C0011633	dermatomyositis
768	C0149756	fascitis plantar
769	C0027932	Neurosis
770	C0006267	bronchiectasis
771	C0007282	carotid artery stenosis
772	C0019196	Hepatitis C
773	C0026267	mitral valve prolapse
774	C0009088	cluster headache
775	C0038436	post traumatic stress disorder
776	C0085096	Disorder Peripheral Vascular
777	C0032768	Postherpetic Neuralgia
778	C1621958	glioblastoma multiforme
779	C0014863	esophageal spasm
780	C0009946	conversion disorder
781	C1456784	paranoia
782	C0917799	excessive sleepiness
783	C0011848	diabetes insipidus
784	C0032708	Porphyria
785	C0032305	Pneumocystis carinii pneumonia
786	C0158986	hypoglycaemia neonatal
787	C0003874	Arthritis bacterial
788	C0001948	alcohol consumption
789	C0019212	hepatorenal syndrome
790	C0152032	hesitancy
791	C0149514	acute bronchitis
792	C0005687	distended bladder
793	C0014550	myoclonic epilepsy
794	C0750876	phlebitis superficial
795	C0009324	chronic ulcerative colitis
796	C0497481	Penile pain
797	C0022353	jaundice neonatal
798	C0032308	pneumonia staphylococcal
799	C0008049	chicken pox
800	C0010055	coronary artery bypass graft
801	C0023531	leukoplakia
802	C0036454	scotoma
803	C0042594	Vestibular disorder
804	C1282799	Penile swelling
805	C0178415	elevated prostate specific antigen
806	C0030848	Peyronies Disease
807	C0020555	hypertrichosis
808	C0031538	phimosis
809	C0035309	Disorder Retinal
810	C0002940	aneurysm
811	C0242225	color blindness
812	C0005697	neurogenic bladder
813	C0011881	Diabetic Nephropathy
814	C0013928	fat embolism
815	C0018817	atrial septal defect
816	C0027707	Interstitial nephritis
817	C0031111	periostitis
818	C0152030	Irritation Skin
819	C0221247	avascular necrosis
820	C1384606	dyspareunia
821	C0040997	trigeminal neuralgia
822	C0080194	muscle strain
823	C0022671	kidney transplant
824	C0005001	benign prostatic hyperplasia
825	C0008035	Chest wall pain
826	C0236720	flashbacks
827	C0242362	Intervertebral Disc Herniation
828	C0274435	Transfusion reaction
829	C0032739	tuberculin test positive
830	C0010038	Corneal clouding
831	C0019357	Herpes ophthalmic
832	C0022568	keratitis
833	C0003564	Aphonia
834	C0010043	corneal ulcer
835	C0040590	tracheostomy
836	C0010032	corneal abrasion
837	C0014390	entropion
838	C0029882	otitis media
839	C0038814	sunburn
840	C0162835	depigmentation
841	C0235267	eye redness
842	C0037578	soft tissue injuries
843	C0024225	lymphangitis
844	C0010034	corneal disorder
845	C0259817	xerosis
846	C0345996	milia
847	C0017658	glomerulonephritis
848	C0002874	Anemia aplastic
849	C0036830	serum sickness
850	C0085207	gestational diabetes
851	C0036508	dermatitis seborrheic
852	C1269683	major depression
853	C0026603	motion sickness
854	C0001546	adjustment disorder
855	C0003611	appendectomy
856	C0005586	bipolar disorder
857	C0006118	brain neoplasm
858	C0006144	Breast cyst
859	C0007286	carpal tunnel
860	C0011053	deafness
861	C0013146	abuse
862	C0019284	diaphragmatic hernia
863	C0019572	hirsuitism
864	C0022603	seborrhoeic keratosis
865	C0024236	lymphedema
866	C0024902	breast pain
867	C0032533	polymyalgia rheumatica
868	C0032633	dyshidrosis
869	C0032781	Post nasal drip
870	C0033046	PMs
871	C0033893	tension headache
872	C0033953	psychosexual disorder
873	C0036439	Scoliosis
874	C0037672	sleep walking
875	C0038131	dysphemia
876	C0039483	temporal arteritis
877	C0039504	tendon injury
878	C0039520	Tenosynovitis
879	C0040586	Tracheobronchitis
880	C0042025	Stress incontinence
881	C0043246	laceration
882	C0156369	Uterine polyp
883	C0162283	Nephrogenic diabetes insipidus
884	C0262397	breast tenderness
885	C0262428	collagenvascular disease
886	C0271650	Glucose intolerance
887	C0476254	dyslexia
888	C0476427	abnormal cervical smear
889	C0549473	thyroid cancer
890	C1322281	Rhinitis Seasonal
891	C1510472	Drug addiction
892	C0013390	dysmenorrhea
893	C0003044	animal bite
894	C0005741	blepharitis
895	C0006271	bronchiolitis
896	C0007280	carotid bruit
897	C0007860	cervicitis
898	C0013080	trisomy 21
899	C0013537	eclampsia
900	C0014743	Erythema nodosum
901	C0015401	foreign body in eye
902	C0016034	breast dysplasia
903	C0019322	umbilical hernia
904	C0020505	hyperalimentation
905	C0020514	Hyperprolactinaemia
906	C0020569	salivary gland enlargement
907	C0021092	cerumen impaction
908	C0024421	macroglossia
909	C0025322	premature menopause
910	C0025345	Menstrual Disorder
911	C0026780	Mumps
912	C0027531	injury of neck
913	C0029134	OPTIC NEURITIS
914	C0032519	Polymenorrhea
915	C0034888	rectal prolapse
916	C0037023	salivary gland inflammation
917	C0037052	sick sinus syndrome
918	C0037928	myelopathy
919	C0040046	Thrombophlebitis
920	C0040261	onychomycosis
921	C0040423	tonsillectomy
922	C0040771	transurethral resection of the prostate
923	C0041755	ADVERSE DRUG EFFECT
924	C0085166	bacterial vaginitis
925	C0085653	pyogenic granuloma
926	C0149741	breast discharge
927	C0158328	trigger finger
928	C0242172	Pelvic Inflammatory Disease
929	C0423798	Easy bruisability
930	C0686347	tardive dyskinesia
931	C0700594	radiculopathy
932	C0848558	hypospadias
933	C0870082	hyperkeratosis
934	C0009144	coated tongue
935	C0025289	meningitides
936	C0011884	Diabetic Retinopathy
937	C0014009	empyema
938	C0034887	rectal polyp
939	C0036341	schizophrenia
940	C0162423	heat rash
941	C0242453	prostatism
